class_cd,gender,lunch,pretest,posttest
1Q1,Female,pay,58,70
1Q1,Male,pay,61,71
1Q1,Male,pay,60,62
1Q1,Male,free,57,62
1Q1,Male,pay,50,58
BFY,Female,pay,53,57
BFY,Female,pay,55,63
BFY,Female,pay,46,57
BFY,Female,pay,50,59
BFY,Male,pay,50,57
BFY,Male,pay,56,64
BFY,Male,free,44,58
BFY,Female,pay,53,64
BFY,Male,pay,51,56
BFY,Female,pay,50,61
BFY,Male,pay,53,61
BFY,Male,pay,53,64
BFY,Male,pay,52,60
BFY,Male,pay,49,61
BFY,Female,pay,55,63
BFY,Female,pay,56,66
BFY,Male,pay,53,62
BFY,Male,pay,50,59
BFY,Male,free,50,59
BFY,Male,pay,52,62
BFY,Female,pay,52,58
BFY,Male,free,47,62
BFY,Female,free,46,60
BFY,Male,pay,53,59
BFY,Male,pay,51,61
BFY,Male,pay,52,65
BFY,Female,pay,50,64
OMI,Female,pay,52,67
OMI,Male,pay,60,72
OMI,Male,pay,55,69
OMI,Male,pay,53,68
OMI,Male,pay,57,67
OMI,Male,pay,61,62
OMI,Female,pay,59,64
OMI,Female,pay,51,65
OMI,Male,free,49,65
OMI,Female,pay,59,64
OMI,Male,free,52,63
OMI,Female,pay,51,66
OMI,Female,pay,57,65
OMI,Male,pay,54,62
OMI,Male,pay,52,65
OMI,Male,pay,57,68
OMI,Female,pay,54,65
OMI,Male,pay,57,59
OMI,Female,pay,60,68
OMI,Female,pay,51,64
OMI,Female,pay,61,67
OMI,Male,free,52,61
OMI,Male,pay,52,63
OMI,Female,free,49,64
OMI,Male,pay,57,63
OMI,Female,pay,52,63
OMI,Male,pay,54,63
OMI,Male,pay,58,65
X6Z,Female,pay,51,66
X6Z,Female,pay,56,75
X6Z,Female,pay,56,72
X6Z,Male,free,51,69
X6Z,Male,pay,53,65
X6Z,Male,pay,49,67
X6Z,Male,pay,54,72
X6Z,Male,pay,52,71
X6Z,Female,pay,53,70
X6Z,Male,pay,54,70
X6Z,Female,pay,57,76
X6Z,Male,pay,52,67
X6Z,Female,pay,61,74
X6Z,Male,pay,52,73
X6Z,Male,free,54,68
X6Z,Male,pay,55,69
X6Z,Male,pay,53,71
X6Z,Male,pay,55,72
X6Z,Male,pay,53,70
X6Z,Male,free,48,66
X6Z,Male,pay,51,70
X6Z,Female,pay,56,70
X6Z,Female,pay,51,69
X6Z,Female,free,49,67
2AP,Female,pay,54,67
2AP,Female,free,50,64
2AP,Female,pay,51,65
2AP,Female,pay,53,70
2AP,Male,pay,52,60
2AP,Male,free,51,57
2AP,Male,pay,56,61
2AP,Female,free,47,58
2AP,Female,free,49,60
2AP,Male,free,46,63
2AP,Female,free,43,61
2AP,Male,pay,56,59
2AP,Female,pay,54,64
2AP,Female,free,48,64
2AP,Female,pay,55,62
2AP,Female,pay,53,63
2AP,Male,free,52,63
2AP,Male,pay,55,55
2AP,Male,free,52,65
2AP,Male,free,54,57
2AP,Male,free,48,54
2AP,Male,free,53,62
2AP,Male,free,52,58
2AP,Male,free,54,61
2AP,Male,free,44,59
2AP,Female,free,47,56
2AP,Female,pay,49,58
PW5,Male,free,37,56
PW5,Female,pay,50,63
PW5,Male,pay,48,58
PW5,Male,free,40,60
PW5,Female,free,39,49
PW5,Female,pay,41,60
PW5,Female,free,38,57
PW5,Male,free,44,58
PW5,Female,pay,45,63
PW5,Female,pay,45,67
PW5,Female,free,36,53
PW5,Male,pay,48,62
PW5,Female,free,42,54
PW5,Female,pay,48,65
PW5,Male,free,42,57
PW5,Male,pay,45,67
PW5,Female,free,39,61
PW5,Female,free,45,64
PW5,Male,free,44,59
PW5,Female,free,40,52
ROP,Female,pay,57,74
ROP,Male,free,58,74
ROP,Female,pay,62,79
ROP,Female,free,61,71
ROP,Male,free,57,73
ROP,Male,free,62,74
ROP,Male,free,55,71
ROP,Male,free,55,68
ROP,Male,pay,55,75
ROP,Male,free,57,72
ROP,Male,free,58,79
ROP,Male,pay,58,75
ROP,Female,pay,60,78
ROP,Male,free,55,67
ROP,Female,free,52,73
ROP,Male,pay,61,73
ROP,Female,free,53,67
ROP,Male,free,60,73
ROP,Male,pay,58,76
ROP,Female,free,53,67
ROP,Male,free,60,72
ROP,Male,pay,64,77
ROP,Female,pay,62,74
ROP,Female,free,56,74
ROP,Male,free,59,76
ROP,Female,pay,61,77
ROP,Male,free,56,74
ROP,Female,free,54,73
ST7,Female,free,64,69
ST7,Female,pay,63,74
ST7,Male,free,49,60
ST7,Male,pay,60,61
ST7,Female,free,58,69
ST7,Male,free,60,74
ST7,Male,free,57,66
ST7,Male,free,58,70
ST7,Male,free,58,68
ST7,Male,pay,62,71
ST7,Male,free,53,68
ST7,Female,free,55,66
ST7,Female,pay,60,72
ST7,Male,pay,62,71
ST7,Male,free,55,64
ST7,Male,free,60,67
ST7,Male,pay,59,66
ST7,Female,free,53,70
ST7,Male,free,57,74
ST7,Male,free,59,69
XXJ,Male,pay,63,72
XXJ,Male,free,65,68
XXJ,Male,free,56,71
XXJ,Male,free,60,69
XXJ,Male,pay,60,66
XXJ,Male,pay,60,68
XXJ,Male,pay,62,72
XXJ,Female,pay,63,70
XXJ,Male,pay,61,74
XXJ,Female,free,56,69
XXJ,Female,free,60,67
XXJ,Male,free,55,66
XXJ,Female,free,62,71
XXJ,Male,free,57,71
XXJ,Female,free,58,70
XXJ,Male,free,57,67
XXJ,Male,pay,62,69
XXJ,Male,free,55,65
XXJ,Female,free,60,76
XXJ,Female,free,52,62
XXJ,Female,free,61,67
XXJ,Female,free,60,70
XXJ,Female,pay,62,68
XXJ,Male,free,60,64
XXJ,Male,pay,67,75
XXJ,Male,pay,61,70
XXJ,Female,free,58,68
197,Male,free,53,68
197,Male,pay,63,78
197,Male,pay,67,79
197,Male,pay,61,76
197,Male,pay,57,76
197,Female,pay,72,84
197,Female,pay,65,78
197,Male,free,56,73
197,Female,pay,64,77
197,Male,pay,65,80
197,Male,pay,65,79
197,Male,pay,64,84
197,Female,pay,62,81
197,Female,pay,58,78
5LQ,Female,free,63,84
5LQ,Female,free,68,85
5LQ,Male,free,66,81
5LQ,Male,pay,68,88
5LQ,Female,pay,66,81
5LQ,Female,pay,68,82
5LQ,Male,free,68,79
5LQ,Male,pay,69,83
5LQ,Female,pay,66,83
5LQ,Male,free,65,83
5LQ,Female,pay,58,80
5LQ,Male,pay,59,81
5LQ,Female,pay,73,82
5LQ,Male,pay,67,86
5LQ,Male,pay,72,83
5LQ,Female,free,56,73
5LQ,Male,pay,61,76
5LQ,Male,pay,68,87
JGD,Male,pay,57,79
JGD,Female,pay,62,76
JGD,Male,pay,58,68
JGD,Male,free,56,69
JGD,Female,pay,64,76
JGD,Male,free,58,73
JGD,Male,free,63,78
JGD,Male,pay,58,77
JGD,Female,pay,61,77
JGD,Female,pay,60,74
JGD,Male,pay,55,72
JGD,Male,pay,59,74
JGD,Female,pay,64,80
JGD,Female,pay,65,75
HCB,Female,pay,47,61
HCB,Male,free,38,49
HCB,Male,free,47,60
HCB,Female,free,48,61
HCB,Female,pay,46,58
HCB,Male,free,53,55
HCB,Female,free,44,58
HCB,Female,free,45,57
HCB,Female,free,48,61
HCB,Female,free,46,55
HCB,Female,free,47,59
HCB,Male,free,48,61
HCB,Female,free,41,61
HCB,Female,free,44,59
HCB,Female,free,46,57
HCB,Male,free,39,50
HCB,Female,free,44,57
HCB,Female,free,44,56
HCB,Female,free,48,58
HCB,Female,free,45,55
HCB,Male,free,45,56
HCB,Male,free,46,64
NOR,Female,free,61,75
NOR,Female,free,60,76
NOR,Male,free,59,79
NOR,Male,free,66,82
NOR,Female,free,65,76
NOR,Male,free,60,78
NOR,Female,free,59,79
NOR,Male,free,60,75
NOR,Female,free,65,82
NOR,Male,free,62,74
NOR,Female,pay,65,79
NOR,Female,free,61,72
NOR,Male,free,66,79
NOR,Male,free,59,75
NOR,Male,free,61,79
NOR,Male,pay,65,80
NOR,Female,free,65,81
NOR,Female,free,61,85
NOR,Male,free,63,78
NOR,Female,free,64,79
NOR,Female,free,60,77
NOR,Female,free,60,73
NOR,Male,pay,65,84
NOR,Female,pay,68,83
NOR,Female,pay,67,81
NOR,Female,free,60,74
NOR,Male,free,64,77
X78,Male,free,55,64
X78,Female,pay,59,64
X78,Male,free,53,65
X78,Male,free,59,69
X78,Male,free,52,61
X78,Male,free,53,64
X78,Female,free,53,63
X78,Female,free,58,65
X78,Female,pay,55,72
X78,Male,free,62,72
X78,Male,free,57,60
X78,Male,pay,59,70
X78,Male,free,52,65
X78,Male,pay,63,74
X78,Female,free,57,69
X78,Male,free,55,63
X78,Female,free,54,69
X78,Female,free,54,69
X78,Male,free,52,62
X78,Male,free,56,65
X78,Male,pay,56,62
YUC,Female,free,52,57
YUC,Female,free,47,57
YUC,Female,free,45,49
YUC,Female,free,47,54
YUC,Female,free,48,55
YUC,Female,free,45,54
YUC,Male,free,46,59
YUC,Male,free,49,58
YUC,Male,pay,47,62
YUC,Female,free,44,55
YUC,Female,free,47,59
YUC,Female,free,48,59
YUC,Female,free,41,54
YUC,Female,free,42,53
YUC,Male,pay,45,60
YUC,Female,free,52,59
YUC,Female,free,44,51
YUC,Female,free,50,55
YUC,Female,free,40,53
YUC,Male,free,40,51
YUC,Male,free,44,57
ZDT,Female,free,58,67
ZDT,Male,free,54,60
ZDT,Male,free,51,63
ZDT,Male,free,52,59
ZDT,Female,free,57,70
ZDT,Female,pay,54,65
ZDT,Male,free,56,66
ZDT,Male,free,52,59
ZDT,Male,free,55,69
ZDT,Male,free,49,62
ZDT,Male,free,52,63
ZDT,Male,free,55,64
ZDT,Female,free,57,63
ZDT,Male,free,54,67
ZDT,Female,free,56,64
ZDT,Female,pay,54,66
ZDT,Male,free,50,63
ZDT,Female,free,54,63
ZDT,Male,free,48,61
ZDT,Female,pay,60,69
ZDT,Female,free,54,63
ZDT,Female,free,55,65
ZDT,Female,free,52,68
ZDT,Male,free,49,65
ZDT,Male,free,55,61
ZDT,Male,free,52,66
ZDT,Female,free,55,64
ENO,Female,free,50,72
ENO,Female,free,57,70
ENO,Male,free,58,70
ENO,Male,pay,61,72
ENO,Female,pay,60,70
ENO,Male,free,55,71
ENO,Male,free,55,68
ENO,Male,pay,55,74
ENO,Female,free,52,65
ENO,Female,free,53,72
ENO,Male,free,54,72
ENO,Female,free,51,62
ENO,Male,pay,56,72
ENO,Female,free,59,77
ENO,Male,free,51,69
ENO,Male,free,50,69
ENO,Female,free,59,75
ENO,Female,pay,59,70
ENO,Female,free,52,69
ENO,Male,free,54,69
ENO,Male,free,46,65
ENO,Male,free,49,67
TSA,Female,free,56,70
TSA,Male,free,54,72
TSA,Male,free,57,71
TSA,Male,free,54,68
TSA,Male,pay,58,68
TSA,Male,free,59,70
TSA,Female,free,55,71
TSA,Female,free,51,69
TSA,Female,free,58,71
TSA,Male,free,54,74
TSA,Male,pay,53,68
TSA,Male,free,52,68
TSA,Male,free,51,66
TSA,Female,free,54,72
TSA,Female,free,48,63
TSA,Male,free,56,74
TSA,Male,free,52,70
TSA,Male,free,53,61
TSA,Female,free,54,69
TSA,Male,pay,50,67
TSA,Male,free,48,70
TSA,Male,free,56,75
TSA,Male,free,53,69
VA6,Female,free,48,56
VA6,Male,pay,49,57
VA6,Female,free,40,52
VA6,Male,pay,42,61
VA6,Male,free,43,57
VA6,Male,free,43,56
VA6,Female,free,47,53
VA6,Female,free,44,53
VA6,Female,free,42,53
VA6,Male,free,45,53
VA6,Male,pay,44,53
VA6,Female,free,44,57
VA6,Male,free,41,50
VA6,Female,free,39,48
VA6,Male,free,39,48
VA6,Female,free,43,53
VA6,Female,pay,45,57
VA6,Male,free,45,53
VA6,Male,free,36,51
18K,Female,free,47,58
18K,Male,free,50,57
18K,Male,free,48,53
18K,Female,free,53,57
18K,Male,free,46,59
18K,Male,free,46,54
18K,Male,free,45,51
18K,Female,free,44,55
18K,Male,free,50,56
18K,Male,free,49,58
18K,Male,free,42,56
18K,Male,free,47,53
18K,Female,free,44,57
18K,Male,pay,44,59
18K,Female,free,49,55
18K,Female,free,47,55
18K,Male,free,42,54
18K,Female,free,48,58
18K,Male,free,45,51
18K,Male,free,42,52
18K,Female,free,43,60
18K,Female,free,52,59
18K,Female,free,41,53
18K,Female,free,50,57
18K,Male,free,42,51
18K,Female,pay,47,59
18K,Female,free,41,57
18K,Female,pay,55,62
18K,Male,free,48,58
18K,Male,free,51,62
18K,Female,free,42,51
CXC,Male,free,31,39
CXC,Female,pay,35,43
CXC,Female,free,31,45
CXC,Male,pay,38,45
CXC,Male,pay,33,47
CXC,Female,free,27,42
CXC,Male,free,36,44
CXC,Female,free,33,46
CXC,Female,free,30,43
CXC,Female,free,33,43
CXC,Female,free,36,43
CXC,Male,free,36,45
CXC,Male,free,30,42
CXC,Male,free,33,43
CXC,Female,free,34,48
CXC,Female,free,37,41
CXC,Female,free,33,36
CXC,Male,free,33,40
CXC,Female,free,32,45
CXC,Female,free,29,44
CXC,Female,pay,39,52
CXC,Female,pay,38,48
CXC,Male,free,29,41
CXC,Female,free,33,46
HKF,Female,free,28,43
HKF,Male,free,33,41
HKF,Female,free,37,44
HKF,Male,free,28,45
HKF,Female,free,32,32
HKF,Female,free,30,43
HKF,Male,free,31,38
HKF,Female,free,27,43
HKF,Female,free,28,45
HKF,Male,free,32,38
HKF,Female,free,23,35
HKF,Male,free,30,39
HKF,Female,free,33,42
HKF,Female,free,30,39
HKF,Male,free,30,44
HKF,Male,free,26,34
HKF,Male,free,31,42
HKF,Male,free,30,41
HKF,Male,free,36,44
HKF,Male,free,27,39
HKF,Male,free,36,43
HKF,Male,free,30,41
HKF,Female,free,32,42
HKF,Female,free,31,45
HKF,Female,free,34,43
HKF,Male,free,30,40
HKF,Male,free,30,44
HKF,Female,free,33,40
PBA,Male,free,41,49
PBA,Male,free,40,50
PBA,Male,free,37,45
PBA,Male,free,37,44
PBA,Female,free,40,51
PBA,Male,free,41,51
PBA,Male,free,37,50
PBA,Male,free,36,49
PBA,Male,free,41,54
PBA,Female,pay,40,52
PBA,Male,free,39,46
PBA,Male,free,40,49
PBA,Male,free,42,50
PBA,Male,free,39,48
PBA,Male,free,45,54
PBA,Female,free,42,48
PBA,Female,free,43,54
PBA,Male,pay,44,54
PBA,Male,free,40,51
PBA,Male,free,36,48
PBA,Female,pay,47,55
PBA,Male,free,43,53
PBA,Female,free,38,51
PBA,Male,free,40,54
U6J,Female,free,44,52
U6J,Female,free,40,52
U6J,Female,free,43,53
U6J,Female,free,36,50
U6J,Male,free,40,51
U6J,Female,free,41,47
U6J,Female,free,39,47
U6J,Female,free,41,47
U6J,Male,free,39,48
U6J,Female,free,37,46
U6J,Male,free,44,52
U6J,Female,free,38,44
U6J,Female,free,35,52
U6J,Male,free,35,48
U6J,Male,free,38,51
U6J,Male,free,41,52
U6J,Female,free,31,44
U6J,Male,free,37,47
U6J,Female,free,36,48
U6J,Female,free,41,46
U6J,Female,free,39,50
U6J,Female,free,36,53
U6J,Male,free,37,48
U6J,Female,free,38,48
U6J,Female,free,39,47
W8A,Female,free,35,55
W8A,Male,free,37,54
W8A,Male,pay,40,59
W8A,Male,free,37,61
W8A,Female,free,40,57
W8A,Female,free,34,54
W8A,Female,free,39,56
W8A,Male,free,36,55
W8A,Female,free,36,57
W8A,Male,pay,45,64
W8A,Male,free,36,57
W8A,Male,free,40,60
W8A,Male,free,42,55
W8A,Male,free,38,59
W8A,Male,free,40,56
W8A,Female,free,34,56
W8A,Female,free,40,54
W8A,Male,free,38,53
W8A,Female,free,40,50
W8A,Male,free,40,55
W8A,Female,free,42,60
W8A,Female,free,36,59
W8A,Male,free,36,51
W8A,Female,free,41,58
W8A,Female,free,44,58
W8A,Female,free,39,56
05H,Female,pay,74,82
05H,Male,pay,74,85
05H,Male,pay,72,76
05H,Female,pay,71,80
05H,Male,pay,77,85
05H,Male,pay,79,86
05H,Female,pay,73,82
05H,Female,pay,74,82
05H,Male,pay,73,85
05H,Male,pay,74,85
05H,Female,pay,72,87
05H,Male,pay,66,88
05H,Male,pay,75,86
05H,Male,pay,74,85
05H,Female,pay,74,84
05H,Male,pay,74,85
05H,Male,pay,74,85
05H,Male,pay,69,80
05H,Female,pay,71,80
05H,Female,pay,74,85
05H,Female,pay,69,81
05H,Male,pay,72,80
98D,Female,pay,82,93
98D,Male,pay,79,90
98D,Female,pay,73,92
98D,Male,pay,78,97
98D,Female,pay,74,93
98D,Male,pay,82,87
98D,Male,pay,74,95
98D,Male,pay,77,91
98D,Female,pay,78,91
98D,Female,pay,79,99
98D,Female,pay,76,92
98D,Male,pay,75,91
98D,Male,pay,72,87
98D,Male,pay,77,88
98D,Male,pay,71,88
98D,Female,pay,80,95
98D,Male,pay,73,89
98D,Male,pay,77,94
98D,Male,pay,78,95
98D,Male,pay,76,90
98D,Female,pay,78,96
G2L,Male,pay,78,88
G2L,Female,pay,75,88
G2L,Male,pay,76,79
G2L,Female,pay,75,84
G2L,Female,pay,70,87
G2L,Female,pay,70,86
G2L,Male,pay,69,83
G2L,Female,pay,76,83
G2L,Female,pay,71,83
G2L,Female,pay,73,82
G2L,Male,pay,73,80
G2L,Male,pay,78,81
G2L,Female,pay,77,83
G2L,Female,pay,75,86
G2L,Male,pay,77,87
G2L,Female,pay,71,79
G2L,Female,pay,69,79
P2A,Female,pay,85,98
P2A,Female,pay,83,96
P2A,Female,pay,84,99
P2A,Male,pay,86,100
P2A,Female,pay,83,100
P2A,Male,pay,89,98
P2A,Male,pay,85,100
P2A,Male,pay,80,95
P2A,Male,pay,83,100
P2A,Male,pay,93,100
P2A,Male,pay,83,100
P2A,Female,pay,86,98
P2A,Male,pay,88,100
P2A,Male,pay,84,96
P2A,Male,pay,81,95
P2A,Female,pay,87,98
P2A,Female,pay,81,100
XZM,Male,pay,64,75
XZM,Female,pay,71,81
XZM,Male,pay,64,81
XZM,Male,pay,66,82
XZM,Female,pay,72,79
XZM,Female,pay,71,75
XZM,Female,pay,67,81
XZM,Male,pay,66,76
XZM,Male,pay,68,79
XZM,Male,pay,73,81
XZM,Female,pay,68,80
XZM,Female,pay,71,81
XZM,Male,pay,68,76
XZM,Male,pay,63,77
XZM,Female,pay,70,86
XZM,Male,pay,68,77
XZM,Female,pay,71,74
1VD,Male,free,39,59
1VD,Male,free,39,53
1VD,Male,free,39,59
1VD,Female,free,42,55
1VD,Male,free,39,57
1VD,Female,free,43,57
1VD,Female,free,37,52
1VD,Female,pay,45,67
1VD,Female,pay,45,61
1VD,Male,free,38,57
1VD,Female,free,41,51
1VD,Female,free,40,58
1VD,Male,free,41,55
1VD,Male,pay,47,62
1VD,Female,free,49,62
1VD,Female,free,44,57
1VD,Male,free,42,56
1VD,Male,free,42,50
1VD,Female,free,43,56
1VD,Female,free,43,55
1VD,Female,free,43,56
1VD,Female,free,37,57
1VD,Male,pay,51,67
1VD,Male,free,45,58
1VD,Male,free,43,62
1VD,Female,free,43,61
1VD,Male,free,39,55
21Q,Female,pay,44,56
21Q,Female,free,40,56
21Q,Male,free,38,49
21Q,Female,free,41,47
21Q,Male,free,42,51
21Q,Female,free,43,56
21Q,Female,free,39,55
21Q,Female,pay,41,54
21Q,Female,free,39,54
21Q,Female,free,42,56
21Q,Female,pay,47,54
21Q,Female,pay,48,52
21Q,Male,free,41,47
21Q,Female,free,37,49
21Q,Female,free,42,49
21Q,Female,pay,42,51
21Q,Male,free,38,48
21Q,Male,free,45,50
21Q,Male,free,42,54
21Q,Male,pay,44,52
21Q,Male,free,39,48
21Q,Female,free,42,53
21Q,Male,free,44,44
21Q,Male,free,39,51
21Q,Male,free,39,47
2BR,Female,free,48,58
2BR,Male,free,48,60
2BR,Male,free,52,59
2BR,Male,free,48,55
2BR,Male,free,45,59
2BR,Female,free,43,62
2BR,Female,free,51,62
2BR,Male,free,49,62
2BR,Female,free,45,56
2BR,Male,free,51,61
2BR,Female,free,49,55
2BR,Male,free,48,54
2BR,Male,free,45,54
2BR,Male,free,48,53
2BR,Female,free,50,55
2BR,Male,free,46,57
2BR,Male,free,50,59
2BR,Male,free,48,54
2BR,Female,free,53,62
2BR,Female,free,47,56
3D0,Female,free,32,40
3D0,Female,free,30,43
3D0,Male,free,28,42
3D0,Male,free,30,42
3D0,Male,free,29,42
3D0,Female,free,30,36
3D0,Female,free,34,41
3D0,Female,free,28,37
3D0,Female,free,29,39
3D0,Female,free,29,41
3D0,Female,free,29,40
3D0,Female,free,29,40
3D0,Female,free,32,39
3D0,Male,free,29,43
3D0,Female,free,31,42
3D0,Female,free,27,41
3D0,Male,free,34,40
3D0,Female,free,27,43
3D0,Male,free,31,37
3D0,Female,free,26,38
3D0,Female,free,32,43
3D0,Male,free,30,42
5JK,Female,free,33,42
5JK,Female,free,34,44
5JK,Male,free,29,43
5JK,Male,free,31,42
5JK,Female,free,33,39
5JK,Male,free,33,44
5JK,Male,free,33,45
5JK,Male,free,38,44
5JK,Female,free,36,46
